Species name standardized against TPL,Taxonomic level,Phylogenetic Group General,Growth Form,Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
Eugenia punicifolia,species,Angiosperm,tree,broadleaved,463.22,3,,,,,5,1,86.434,12,,,,,,,3
Eugenia pyriformis,species,Angiosperm,tree,broadleaved,,,21.47,3,,,,,,,,,,,,,1
Eugenia rostrifolia,species,Angiosperm,tree,broadleaved,,,,,,,25,12,,,,,,,,,1
Eugenia salamensis,species,Angiosperm,tree,broadleaved,,,18.83,1,71.954,2,,,,,0.685,1,,,,0.685,3
Eugenia sarapiquensis,species,Angiosperm,tree,broadleaved,8116.4,2,,,61.85,1,,,,,,,,,,,2
Eugenia schunkei,species,Angiosperm,tree,broadleaved,9623.88,5,15.795,2,104.368,2,5,1,,,,,,,,,4
Eugenia stahlii,species,Angiosperm,tree,broadleaved,,,7.56,2,,,,,,,0.73,4,,,,0.73,2
Eugenia stictopetala,species,Angiosperm,tree,,3923.01,3,,,125.471,2,15,2,,,0.72,2,,,,0.72,4
Eugenia stipitata,species,Angiosperm,tree,broadleaved,2636.5,4,,,,,6,3,,,,,,,,,2
Eugenia umbelliflora,species,Angiosperm,tree,broadleaved,2255.4,1,16.21,1,133.869,1,6.33,1,,,0.62,2,,,,0.62,5
Eugenia uniflora,species,Angiosperm,tree,broadleaved,4704.88,3,,,,,7.17,15,,,0.906,4,,,,0.906,3
Eugenia uruguayensis,species,Angiosperm,tree,broadleaved,,,,,,,15,12,,,,,,,,,1
Eugenia verticillata,species,Angiosperm,tree,broadleaved,,,,,,,10,12,,,,,,,,,1
Eugenia woodii,species,Angiosperm,tree,broadleaved,770,2,19.49,2,138.122,4,,,,,,,,,,,3
Euodia euneura,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.42,2,,,,0.42,1
Euodia glabra,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.31,2,,,,0.31,1
Euodia glabrifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.23,2,,,,0.23,1
Euodia malayana,species,Angiosperm,tree,broadleaved,4066.38,14,22.785,14,106.524,14,,,,,,,,,,,3
Euodia pilulifera,species,Angiosperm,tree,broadleaved,25739,1,,,,,14,1,,,,,,,,,2
Euodia robusta,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.34,2,,,,0.34,1
Euonymus hamiltonianus,species,Angiosperm,tree,broadleaved,,,,,79.189,1,10,1,35.225,11,,,,,,,3
Euonymus indicus,species,Angiosperm,tree,broadleaved,9050,3,,,,,25.612,3,,,0.53,4,,,,0.53,3
Euonymus occidentalis,species,Angiosperm,tree,broadleaved,,,,,,,6.096,1,18.88,8,,,,,,,2
Euphorbia ampliphylla,species,Angiosperm,tree,broadleaved,,,,,,,10,2,,,,,,,,,1
Euphorbia bougheyi,species,Angiosperm,tree,broadleaved,,,,,,,7,2,,,,,,,,,1
Euphorbia confinalis,species,Angiosperm,tree,broadleaved,,,,,,,6.993,3,,,,,,,,,1
Euphorbia fortissima,species,Angiosperm,tree,broadleaved,,,,,,,5.916,2,,,,,,,,,1
Euphorbia grandidens,species,Angiosperm,tree,broadleaved,,,,,,,12.649,2,,,,,,,,,1
Euphorbia ingens,species,Angiosperm,tree,broadleaved,,,,,,,8.963,3,,,,,,,,,1
Euphorbia lividiflora,species,Angiosperm,tree,broadleaved,,,,,,,6.325,2,,,,,,,,,1
Euphorbia tirucalli,species,Angiosperm,tree,broadleaved,,,15.3,1,,,4.646,2,14.9,,0.509,4,,,,0.509,4
Euphorbia triangularis,species,Angiosperm,tree,broadleaved,,,,,,,12.728,2,,,,,,,,,1
Euplassa cantareirae,species,Angiosperm,tree,broadleaved,,,14.27,1,,,10.25,1,,,0.62,4,,,,0.62,3
Euplassa occidentalis,species,Angiosperm,tree,broadleaved,13589.83,3,12.41,5,172.712,5,,,,,0.47,3,,,,0.47,4
Euplassa pinnata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.52,2,,,,0.52,1
Euplassa saxicola,species,Angiosperm,tree,broadleaved,,,12.5,1,340.483,1,9.87,1,150,1,0.52,2,,,,0.52,5
Euptelea pleiosperma,species,Angiosperm,tree,broadleaved,,,21.4,1,,,12.413,6,,,0.54,4,,,,0.54,3
Euptelea polyandra,species,Angiosperm,tree,broadleaved,,,,,,,,,1.2,7,,,,,,,1
Euroschinus falcatus,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.41,4,,,,0.41,1
Euroschinus papuanus,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.36,2,,,,0.36,1
Eurya rubiginosa,species,Angiosperm,tree,broadleaved,700,2,12.51,13,86.207,7,3.524,5,,,,,,,,,4
Eurycoma longifolia,species,Angiosperm,tree,broadleaved,1315.52,7,,,67.915,2,16.918,5,,,0.505,4,,,,0.505,4
Eurycorymbus cavaleriei,species,Angiosperm,tree,,,,,,,,20,1,,,,,,,,,1
Euryodendron excelsum,species,Angiosperm,tree,,,,,,,,25,1,,,,,,,,,1
Eusideroxylon zwageri,species,Angiosperm,tree,broadleaved,15950.76,8,18.535,7,90.85,8,22.361,2,28571,3,0.798,8,,,,0.798,6
Euterpe edulis,species,Angiosperm,tree,broadleaved,15262.3,6,20.486,4,104.436,4,6.745,6,,,0.537,4,,,,0.537,5
Euterpe oleracea,species,Angiosperm,tree,broadleaved,9050,3,,,120.27,2,25,1,,,,,,,,,3
Euterpe precatoria,species,Angiosperm,tree,broadleaved,21701.98,4,19.78,3,77.398,4,20,1,,,0.415,9,,,,0.415,5
Euxylophora paraensis,species,Angiosperm,tree,broadleaved,,,11.55,4,,,,,,,0.642,16,,,,0.642,2
Evodia fargesii,species,Angiosperm,tree,broadleaved,,,20.958,2,59.032,3,15.969,3,,,,,,,,,3
Exbucklandia populnea,species,Angiosperm,tree,broadleaved,,,,,,,20,1,4.1,5,0.603,12,,,,0.603,3
Exbucklandia tonkinensis,species,Angiosperm,tree,broadleaved,,,,,,,25,1,,,0.545,8,,,,0.545,2
Excoecaria agallocha,species,Angiosperm,tree,broadleaved,675,1,20.3,5,208.815,3,15,1,49.456,12,0.399,12,,,,0.399,6
Excoecaria dallachyana,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.61,2,,,,0.61,1
Excoecaria parvifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.69,2,,,,0.69,1
Exellodendron cordatum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,1.01,2,,,,1.01,1
Exellodendron coriaceum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.84,2,,,,0.84,1
Exocarpos latifolius,species,Angiosperm,tree,broadleaved,675,1,,,,,10,1,,,0.855,4,,,,0.855,3
Exostema caribaeum,species,Angiosperm,tree,broadleaved,,,17.831,3,,,,,,,1,2,,,,1,2
Exostema maynense,species,Angiosperm,tree,broadleaved,5291.64,3,,,,,30,1,,,,,,,,,2
Exostema mexicanum,species,Angiosperm,tree,broadleaved,,,32.075,1,43.57,1,,,,,0.705,3,,,,0.705,3
Exothea paniculata,species,Angiosperm,tree,broadleaved,,,,,,,14.935,1,,,0.73,2,,,,0.73,2
Fagara acutifolia,species,Angiosperm,tree,broadleaved,,,,,,,7,,,,0.71,,,,,0.71,2
Fagara coco,species,Angiosperm,tree,broadleaved,5712.89,,34.28,,86.957,,6.5,,38.7,,0.46,,,,,0.486,6
Fagara davyi,species,Angiosperm,tree,broadleaved,,,,,,,15.492,2,,,,,,,,,1
Fagaropsis angolensis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.496,4,,,,0.496,1
Fagraea crenulata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.46,4,,,,0.46,1
Fagraea elliptica,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.845,4,,,,0.845,1
Fagraea fragrans,species,Angiosperm,tree,broadleaved,2090,2,,,91.703,6,,,0.131,8,0.664,10,,,,0.664,4
Fagraea gigantea,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.57,2,,,,0.57,1
Fagraea gracilipes,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.832,4,,,,0.832,1
Fagus chienii,species,Angiosperm,tree,,,,,,,,25,2,,,,,,,,,1
Fagus crenata,species,Angiosperm,tree,broadleaved,,,18.784,57,98.722,35,30,7,141.966,12,0.55,2,,,,0.55,5
Fagus engleriana,species,Angiosperm,tree,broadleaved,,,,,,,20,5,,,0.64,2,,,,0.64,2
Fagus grandifolia,species,Angiosperm,tree,broadleaved,3534.3,5798,18.833,718,55.351,5818,30.03,3507,261.241,32,0.67,2,,,,0.67,6
Fagus hayatae,species,Angiosperm,tree,broadleaved,,,,,,,13,2,,,,,,,,,1
Fagus japonica,species,Angiosperm,tree,broadleaved,,,,,52.52,4,20,3,121,11,,,,,,,3
Fagus longipetiolata,species,Angiosperm,tree,broadleaved,,,,,,,25,4,,,0.6,6,,,,0.6,2
Fagus lucida,species,Angiosperm,tree,broadleaved,,,,,,,25,2,,,0.58,2,,,,0.58,2
Fagus orientalis,species,Angiosperm,tree,broadleaved,2075.98,4,,,,,16.485,6,169.854,12,,,,,,,3
Fagus sylvatica,species,Angiosperm,tree,broadleaved,2061.6,181,22.27,641,65.367,682,31.477,291,186.985,43,0.681,772,,,,0.681,6
Faidherbia albida,species,Angiosperm,tree,broadleaved,,,27.9,,,,10.562,4,61.324,10,0.555,12,,,,0.555,4
Falcataria moluccana,species,Angiosperm,tree,broadleaved,55.14,,25.466,2,90.009,2,19.628,,24.75,9,0.293,,,,,0.298,6
Falconeria insignis,species,Angiosperm,tree,broadleaved,,,26.35,4,,,,,,,0.391,6,,,,0.391,2
Faramea capillipes,species,Angiosperm,tree,,5446.46,2,21.642,6,48.545,2,,,,,,,,,,,3
Faramea corymbosa,species,Angiosperm,tree,,3000,1,24.3,,,,,,,,,,,,,,2
Faramea glandulosa,species,Angiosperm,tree,broadleaved,4856.27,5,26.574,2,31.646,2,12,1,,,,,,,,,4
Faramea marginata,species,Angiosperm,tree,broadleaved,,,,,,,5,12,,,,,,,,,1
Faramea multiflora,species,Angiosperm,tree,broadleaved,5166.18,6,37.625,2,38.236,3,4,1,,,,,,,,,4
Faramea occidentalis,species,Angiosperm,tree,broadleaved,4892.34,51,19.484,15,67.202,180,12.693,6,269.544,8,0.602,10,,,,0.602,6
Faramea pachyantha,species,Angiosperm,tree,broadleaved,9374.7,1,18.82,1,246.305,1,7.12,1,,,0.52,2,,,,0.52,5
Faramea parvibractea,species,Angiosperm,tree,broadleaved,6328,2,,,46.302,1,,,,,,,,,,,2
Faramea platyneura,species,Angiosperm,tree,broadleaved,,,20.408,92,73.397,72,,,,,,,,,,,2
Faramea quinqueflora,species,Angiosperm,tree,,1193.08,2,23.741,2,25.456,2,,,,,,,,,,,3
Faramea sessilifolia,species,Angiosperm,tree,,3000,1,,,,,,,,,,,,,,,1
Faramea suerrensis,species,Angiosperm,tree,,,,,,,,,,400,1,,,,,,,1
Faramea torquata,species,Angiosperm,tree,broadleaved,8273.8,5,17.171,2,66.79,2,18,1,,,,,,,,,4
Faramea uncinata,species,Angiosperm,tree,,2980.67,2,27.85,2,46.291,2,,,,,,,,,,,3
Faucherea ambrensis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.89,2,,,,0.89,1
Faurea macnaughtonii,species,Angiosperm,tree,broadleaved,1420,2,19.14,2,96.899,4,,,,,0.81,2,,,,0.81,4
Ferdinandusa elliptica,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,0.65,2,,,,0.65,2
Ferdinandusa panamensis,species,Angiosperm,tree,broadleaved,14790.23,2,19.3,1,63.371,1,,,,,0.65,1,,,,0.65,4
Ferdinandusa paraensis,species,Angiosperm,tree,,5556.16,14,,,73.77,14,16,8,,,0.533,8,,,,0.533,4
Ferdinandusa rudgeoides,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.8,2,,,,0.8,1
Fernandoa adenophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,14.4,7,0.625,2,,,,0.625,2
Fernandoa macroloba,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.649,4,,,,0.649,1
Fernandoa madagascariensis,species,Angiosperm,tree,broadleaved,,,,,,,,,8.97,6,,,,,,,1
Ficalhoa laurifolia,species,Angiosperm,tree,broadleaved,,,,,,,10.091,4,,,0.57,2,,,,0.57,2
Ficus abutilifolia,species,Angiosperm,tree,broadleaved,,,,,,,15,2,,,,,,,,,1
Ficus albert-smithii,species,Angiosperm,tree,,,,9.5,1,,,8.62,1,2,1,,,,,,,3
Ficus altissima,species,Angiosperm,tree,broadleaved,,,,,,,35,1,0.46,11,0.47,4,,,,0.47,3
Ficus americana,species,Angiosperm,tree,broadleaved,3000,1,,,,,12,,,,0.4,2,,,,0.4,3
Ficus americana subsp. guianensis,variety or subspecies,Angiosperm,tree,broadleaved,2302.47,3,,,,,35,1,0.128,13,,,,,,,3
Ficus ampelas,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.38,2,,,,0.38,1
Ficus amplissima,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.39,2,,,,0.39,1
Ficus annulata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.33,2,,,,0.33,1
Ficus anthelmintica,species,Angiosperm,tree,broadleaved,,,,,,,48,,,,0.36,2,,,,0.36,2
Ficus apollinaris,species,Angiosperm,tree,broadleaved,,,,,,,37.417,2,,,,,,,,,1
Ficus aurata,species,Angiosperm,tree,broadleaved,9215.5,3,19.102,4,73.458,5,,,0.36,7,,,,,,,4
Ficus aurea,species,Angiosperm,tree,broadleaved,3016.35,4,13.8,5,86.218,6,22.558,3,,,0.44,,,,,0.44,5
Ficus auriculata,species,Angiosperm,tree,broadleaved,62440,1,,,71.745,2,10,1,6.11,7,0.46,2,,,,0.46,5
Ficus austrocaledonica,species,Angiosperm,tree,broadleaved,,,8.9,1,145.349,1,,,,,,,,,,,2
Ficus balete,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.65,2,,,,0.65,1
Ficus benghalensis,species,Angiosperm,tree,broadleaved,,,12.9,7,126.422,8,25,2,,,0.485,6,,,,0.485,4
Ficus benjamina,species,Angiosperm,tree,broadleaved,1702.14,3,17.6,5,99.206,11,13.551,5,25,7,0.568,6,,,,0.568,6
Ficus boliviana,species,Angiosperm,tree,broadleaved,14160.61,2,19,,57.309,7,46.5,1,,,0.41,1,,,,0.41,5
Ficus botryocarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.43,2,,,,0.43,1
Ficus bougainvillei,species,Angiosperm,tree,broadleaved,25739,1,,,,,11,1,,,,,,,,,2
Ficus brevibracteata,species,Angiosperm,tree,,17576.97,2,22.186,2,52.02,2,,,,,,,,,,,3
Ficus bruneiensis,species,Angiosperm,tree,broadleaved,53838.12,1,22.16,1,89.047,1,,,,,,,,,,,3
Ficus brunneoaurata,species,Angiosperm,tree,broadleaved,24691.55,3,23.763,3,68.774,3,,,,,,,,,,,3
Ficus bubu,species,Angiosperm,tree,broadleaved,,,,,,,24.495,2,,,,,,,,,1
Ficus bullenei,species,Angiosperm,tree,broadleaved,6258.58,6,25.63,1,27.024,7,22.049,2,,,0.435,2,,,,0.435,5
Ficus bussei,species,Angiosperm,tree,broadleaved,,,,,,,20,2,,,,,,,,,1
Ficus callosa,species,Angiosperm,tree,broadleaved,,,,,104.167,1,35,1,,,0.288,4,,,,0.288,3
Ficus carica,species,Angiosperm,tree,broadleaved,11150,13,28.56,25,93.485,27,5.477,9,,,,,,,,,4
Ficus casapiensis,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,,,,,,,1
Ficus catappifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.65,2,,,,0.65,1
Ficus chartacea,species,Angiosperm,tree,broadleaved,,,,,,,,,0.2,7,,,,,,,1
Ficus chirindensis,species,Angiosperm,tree,broadleaved,,,,,,,35,2,,,,,,,,,1
Ficus chrysolepis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.34,2,,,,0.34,1
Ficus coerulescens,species,Angiosperm,tree,broadleaved,2570.39,,,,,,,,,,0.364,4,,,,0.364,2
Ficus colubrinae,species,Angiosperm,tree,broadleaved,4505.8,2,10.79,3,132.45,3,13.68,1,,,,,,,,,4
Ficus concinna,species,Angiosperm,tree,broadleaved,2570,1,,,87.3,1,17.5,1,,,,,,,,,3
Ficus cordata,species,Angiosperm,tree,broadleaved,,,,,,,22.913,2,0.299,12,,,,,,,2
Ficus cordata subsp. salicifolia,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,10,2,0.46,6,,,,,,,2
Ficus coronata,species,Angiosperm,tree,broadleaved,3054.52,4,,,64.393,6,9,4,,,0.4,2,,,,0.4,4
Ficus costaricana,species,Angiosperm,tree,broadleaved,3469.71,10,17.2,1,98.786,26,38.001,2,,,,,,,,,4
Ficus cotinifolia,species,Angiosperm,tree,broadleaved,,,,,,,20,,0.23,6,,,,,,,2
Ficus crassipes,species,Angiosperm,tree,broadleaved,,,,,,,20,,0.45,11,,,,,,,2
Ficus crassiramea subsp. stupenda,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,25,1,,,,,,,,,1
Ficus craterostoma,species,Angiosperm,tree,broadleaved,,,,,,,10,2,,,,,,,,,1
Ficus crocata,species,Angiosperm,tree,broadleaved,42312.93,2,17.198,2,91.624,2,,,,,,,,,,,3
Ficus cuatrecasasiana,species,Angiosperm,tree,broadleaved,55000,1,,,,,,,,,,,,,,,1
Ficus curtipes,species,Angiosperm,tree,broadleaved,7130,1,,,154.7,1,7.5,,,,,,,,,,3
Ficus cuspidata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.42,2,,,,0.42,1
Ficus cyathistipula,species,Angiosperm,tree,broadleaved,,,,,,,10.954,2,,,,,,,,,1
Ficus dendrocida,species,Angiosperm,tree,broadleaved,,,,,,,19,,,,0.53,2,,,,0.53,2
Ficus destruens,species,Angiosperm,tree,broadleaved,9050,1,,,,,32,1,0.4,11,,,,,,,3
Ficus drupacea,species,Angiosperm,tree,broadleaved,9050,2,,,,,12.5,3,,,0.21,2,,,,0.21,3
Ficus dugandii,species,Angiosperm,tree,broadleaved,9500,1,,,,,30,,0.1,7,,,,,,,3
Ficus elastica,species,Angiosperm,tree,broadleaved,,,,,156.25,2,18.07,6,,,0.616,8,,,,0.616,3
Ficus erecta,species,Angiosperm,tree,broadleaved,,,29.37,10,43.29,4,6.168,5,,,0.47,2,,,,0.47,4
Ficus exasperata,species,Angiosperm,tree,broadleaved,7889.52,8,,,,,4.6,10,0.46,6,0.34,2,,,,0.34,4
Ficus eximia,species,Angiosperm,tree,broadleaved,55000,1,,,,,,,,,0.45,4,,,,0.45,2
Ficus fischeri,species,Angiosperm,tree,broadleaved,,,,,,,15,2,,,,,,,,,1
Ficus fistulosa,species,Angiosperm,tree,broadleaved,5767.64,7,24.1,1,93.458,4,12.5,5,0.3,8,0.38,2,,,,0.38,6
Ficus forstenii,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.29,2,,,,0.29,1
Ficus fulva,species,Angiosperm,tree,broadleaved,9500,2,20.874,5,48.651,4,7,3,0.15,11,0.387,4,,,,0.387,6
Ficus glaberrima,species,Angiosperm,tree,broadleaved,,,17.8,1,,,15,1,,,,,,,,,2
Ficus glumosa,species,Angiosperm,tree,broadleaved,,,,,,,10,2,1.04,6,,,,,,,2
Ficus gomelleira,species,Angiosperm,tree,broadleaved,8542,3,,,,,40,1,,,0.39,,,,,0.39,3
Ficus grossularioides,species,Angiosperm,tree,broadleaved,10436.46,4,,,80.192,4,12.961,2,0.29,8,0.416,4,,,,0.416,5
Ficus gul,species,Angiosperm,tree,broadleaved,9050,1,,,,,34,1,,,,,,,,,2
Ficus hartwegii,species,Angiosperm,tree,broadleaved,,,,,,,15,,,,0.39,2,,,,0.39,2
Ficus henryi,species,Angiosperm,tree,broadleaved,3000,2,20.143,3,46.409,2,7.071,3,0.34,6,,,,,,,5
Ficus heterophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.46,2,,,,0.46,1
Ficus hispida,species,Angiosperm,tree,broadleaved,13640,1,,,93.633,1,,,0.25,11,0.379,4,,,,0.379,4
Ficus infectoria,species,Angiosperm,tree,broadleaved,,,,,,,11,,8.05,11,0.34,2,,,,0.34,3
Ficus ingens,species,Angiosperm,tree,broadleaved,,,,,,,15,2,0.449,12,0.5,2,,,,0.5,3
Ficus insipida,species,Angiosperm,tree,broadleaved,16706.35,28,24.576,10,88.741,63,28.238,13,1.04,25,0.383,28,,,,0.383,6
Ficus lacor,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.34,2,,,,0.34,1
Ficus langkokensis,species,Angiosperm,tree,broadleaved,,,,,,,13,,,,0.35,4,,,,0.35,2
Ficus laurifolia,species,Angiosperm,tree,broadleaved,,,,,,,15.811,2,,,,,,,,,1
Ficus lepicarpa,species,Angiosperm,tree,broadleaved,9050,1,,,,,14,1,,,,,,,,,2
Ficus lingua,species,Angiosperm,tree,broadleaved,,,,,,,30,2,,,,,,,,,1
Ficus lutea,species,Angiosperm,tree,broadleaved,,,,,,,22.361,2,,,,,,,,,1
Ficus lyrata,species,Angiosperm,tree,broadleaved,,,,,89.007,2,,,,,,,,,,,1
Ficus macbridei,species,Angiosperm,tree,broadleaved,31993.55,5,,,161.29,6,,,,,,,,,,,2
Ficus macrophylla,species,Angiosperm,tree,broadleaved,9050,3,16.9,2,131.062,2,12.414,5,1.811,12,0.29,4,,,,0.29,6
Ficus mallotoides,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.14,2,,,,0.14,1
Ficus mathewsii,species,Angiosperm,tree,broadleaved,3000,1,,,,,,,,,0.377,5,,,,0.377,2
Ficus maxima,species,Angiosperm,tree,broadleaved,8550.78,22,27.123,13,76.211,53,26.436,12,,,0.366,24,,,,0.366,5
Ficus melinocarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.34,2,,,,0.34,1
Ficus microcarpa,species,Angiosperm,tree,broadleaved,,,14.7,3,122.699,2,10,3,0.33,16,,,,,,,4
Ficus minahassae,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.32,2,,,,0.32,1
Ficus mollissima,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.43,2,,,,0.43,1
Ficus mucuso,species,Angiosperm,tree,broadleaved,9050,1,25.1,,,,3.5,1,,,0.405,4,,,,0.405,4
Ficus natalensis,species,Angiosperm,tree,broadleaved,,,,,,,30,2,0.392,12,,,,,,,2
Ficus nervosa,species,Angiosperm,tree,broadleaved,,,,,,,,,0.08,11,0.28,2,,,,0.28,2
Ficus nodosa,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.23,2,,,,0.23,1
Ficus nymphaeifolia,species,Angiosperm,tree,broadleaved,22293,4,23.233,2,88.247,6,30,,,,0.406,7,,,,0.406,5
Ficus obliqua,species,Angiosperm,tree,broadleaved,,,,,,,40,2,0.44,11,0.488,6,,,,0.488,3
Ficus obscura,species,Angiosperm,tree,broadleaved,9050,1,,,,,14,2,,,,,,,,,2
Ficus obtusifolia,species,Angiosperm,tree,broadleaved,8054.2,16,13.48,2,96.141,40,18.574,3,1.225,8,0.41,2,,,,0.41,6
Ficus obtusiuscula,species,Angiosperm,tree,broadleaved,1019.79,3,,,,,30,1,,,0.4,2,,,,0.4,3
Ficus opposita,species,Angiosperm,tree,broadleaved,,,,,,,,,0.87,10,,,,,,,1
Ficus pachyclada,species,Angiosperm,tree,broadleaved,37.8,12,,,100.141,6,,,,,,,,,,,2
Ficus padana,species,Angiosperm,tree,broadleaved,9050,1,,,,,11,1,,,0.28,2,,,,0.28,3
Ficus palmata,species,Angiosperm,tree,,,,30.8,4,,,,,,,,,,,,,1
Ficus paraensis,species,Angiosperm,tree,broadleaved,7865.09,5,,,109.29,3,20,1,,,,,,,,,3
Ficus parietalis,species,Angiosperm,tree,broadleaved,9050,1,,,,,12,1,,,,,,,,,2
Ficus pertusa,species,Angiosperm,tree,broadleaved,2792.05,13,,,51.17,21,14.62,3,,,0.404,6,,,,0.404,4
Ficus piresiana,species,Angiosperm,tree,broadleaved,6201.85,3,25.13,5,111.359,5,30,4,,,0.41,3,,,,0.41,5
Ficus pisocarpa,species,Angiosperm,tree,broadleaved,,,,,,,10,,0.15,7,,,,,,,2
Ficus platypoda,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.49,4,,,,0.49,1
Ficus pleurocarpa,species,Angiosperm,tree,broadleaved,,,,,,,25,,3.3,11,0.4,2,,,,0.4,3
Ficus polita,species,Angiosperm,tree,broadleaved,,,,,,,24.495,2,,,,,,,,,1
Ficus popenoei,species,Angiosperm,tree,broadleaved,5090.65,7,21.55,1,69.482,15,34.108,2,0.5,8,0.555,2,,,,0.555,6
Ficus racemosa,species,Angiosperm,tree,broadleaved,5910.69,5,22.885,14,66.735,15,30,1,0.13,11,0.386,14,,,,0.386,6
Ficus reflexa,species,Angiosperm,tree,broadleaved,,,,,,,,,0.26,6,,,,,,,1
Ficus religiosa,species,Angiosperm,tree,broadleaved,18960,1,14.8,7,96.367,9,25,1,,,0.44,2,,,,0.44,5
Ficus retusa,species,Angiosperm,tree,broadleaved,,,,,,,,,25,8,0.54,10,,,,0.54,2
Ficus ribes,species,Angiosperm,tree,broadleaved,9050,2,,,,,16.089,4,,,0.37,2,,,,0.37,3
Ficus rigida,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.43,2,,,,0.43,1
Ficus rubiginosa,species,Angiosperm,tree,broadleaved,,,,,,,30,,0.399,8,,,,,,,2
Ficus rumphii,species,Angiosperm,tree,broadleaved,,,15.5,7,79.114,8,,,,,0.399,4,,,,0.399,3
Ficus sagittata,species,Angiosperm,tree,broadleaved,3471.09,5,,,,,16.599,5,,,,,,,,,2
Ficus sansibarica,species,Angiosperm,tree,broadleaved,,,,,,,28.284,2,0.79,6,0.52,2,,,,0.52,3
Ficus scassellatii,species,Angiosperm,tree,broadleaved,,,,,,,50,,,,0.42,2,,,,0.42,2
Ficus schultesii,species,Angiosperm,tree,broadleaved,10190.72,3,,,,,,,,,,,,,,,1
Ficus scobina,species,Angiosperm,tree,broadleaved,3900,2,29.999,7,90.032,6,,,,,,,,,,,3
Ficus semicordata,species,Angiosperm,tree,broadleaved,7109.5,3,,,80.645,1,6.291,3,1,7,,,,,,,4
Ficus septica,species,Angiosperm,tree,broadleaved,4168.19,2,,,,,7.746,2,,,0.42,4,,,,0.42,3
Ficus sphenophylla,species,Angiosperm,tree,broadleaved,5705.52,3,,,,,,,,,,,,,,,1
Ficus stolonifera,species,Angiosperm,tree,broadleaved,6488.65,3,19.756,4,71.898,4,,,,,,,,,,,3
Ficus stuhlmannii,species,Angiosperm,tree,broadleaved,,,,,,,12.247,2,,,,,,,,,1
Ficus sumatrana,species,Angiosperm,tree,broadleaved,2199,1,,,,,50,1,,,,,,,,,2
Ficus sundaica,species,Angiosperm,tree,broadleaved,9050,1,,,,,36,1,,,,,,,,,2
Ficus superba,species,Angiosperm,tree,broadleaved,2683.33,,,,81.566,1,,,0.55,11,,,,,,,3
Ficus sur,species,Angiosperm,tree,broadleaved,,,,,,,17.943,2,0.614,8,0.28,,,,,0.28,3
Ficus sycomorus,species,Angiosperm,tree,broadleaved,,,,,,,24.495,4,2.326,18,0.417,6,,,,0.417,3
Ficus thonningii,species,Angiosperm,tree,broadleaved,,,,,,,21.213,2,0.32,6,0.425,8,,,,0.425,3
