Species name standardized against TPL,Taxonomic level,Phylogenetic Group General,Growth Form,Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
Physocalymma scaberrimum,species,Angiosperm,tree,broadleaved,3153.76,3,,,,,25,1,,,0.85,2,,,,0.85,3
Physokentia sp,genus,Angiosperm,tree,broadleaved,9050,1,,,,,20,1,,,,,,,,,2
Phytelephas tenuicaulis,species,Angiosperm,tree,broadleaved,,,18.921,2,57.666,2,7,1,,,,,,,,,3
Phytolacca dioica,species,Angiosperm,tree,broadleaved,,,,,,,,,6.72,6,0.25,2,,,,0.25,2
Picea abies,species,Gymnosperm,tree,needleleaved,31.72,10,12.358,1334,225.178,656,40.688,267,6.443,41,0.424,31,,,,0.424,6
Picea alcoquiana,species,Gymnosperm,tree,needleleaved,,,,,,,35,2,,,,,,,,,1
Picea asperata,species,Gymnosperm,tree,needleleaved,,,,,,,45,6,4.183,2,0.301,12,,,,0.301,3
Picea aurantiaca,species,Gymnosperm,tree,needleleaved,,,,,,,28,4,,,,,,,,,1
Picea brachytyla,species,Gymnosperm,tree,needleleaved,,,,,,,30,2,,,0.435,4,,,,0.435,2
Picea breweriana,species,Gymnosperm,tree,needleleaved,,,,,,,38.158,18,8.055,15,,,,,,,2
Picea chihuahuana,species,Gymnosperm,tree,needleleaved,,,12.332,9,,,,,,,,,,,,,1
Picea crassifolia,species,Gymnosperm,tree,needleleaved,,,,,400,1,23.648,3,,,,,,,,,2
Picea engelmannii,species,Gymnosperm,tree,needleleaved,29.39,11,9.982,33,311.588,17,35.294,47,3.235,25,0.35,6,,,,0.35,6
Picea glauca,species,Gymnosperm,tree,needleleaved,23.72,2,10.637,87,239.173,42,25.835,46,2.452,30,0.45,9,,,,0.45,6
Picea glehnii,species,Gymnosperm,tree,needleleaved,,,,,,,40,3,3.165,3,,,,,,,2
Picea jezoensis,species,Gymnosperm,tree,needleleaved,16.12,,15.546,1,106.007,,32.404,14,2.76,10,0.38,3,,,,0.38,6
Picea koraiensis,species,Gymnosperm,tree,needleleaved,,,11.7,1,,,30,5,,,0.357,6,,,,0.357,3
Picea koyamae,species,Gymnosperm,tree,needleleaved,,,,,,,,,4.227,4,,,,,,,1
Picea likiangensis,species,Gymnosperm,tree,needleleaved,,,8.703,5,,,50,7,,,0.365,4,,,,0.365,3
Picea likiangensis var. hirtella,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,40,2,,,,,,,,,1
Picea likiangensis var. linzhiensis,variety or subspecies,Gymnosperm,tree,,,,,,,,40,2,,,,,,,,,1
Picea likiangensis var. montigena,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,30,4,,,,,,,,,1
Picea likiangensis var. rubescens,variety or subspecies,Gymnosperm,tree,needleleaved,,,16.9,5,,,40,2,,,,,,,,,2
Picea mariana,species,Gymnosperm,tree,needleleaved,30,862,8.379,161,296.521,919,19.76,265,1.133,23,0.388,11,,,,0.388,6
Picea meyeri,species,Gymnosperm,tree,needleleaved,,,10.39,5,,,30,3,,,,,,,,,2
Picea morrisonicola,species,Gymnosperm,tree,needleleaved,,,,,,,40,5,,,,,,,,,1
Picea neoveitchii,species,Gymnosperm,tree,,,,,,,,15,2,,,,,,,,,1
Picea obovata,species,Gymnosperm,tree,needleleaved,,,14.133,9,,,36.593,4,,,,,,,,,2
Picea omorika,species,Gymnosperm,tree,needleleaved,,,10.299,6,,,30.091,23,3.51,9,,,,,,,3
Picea orientalis,species,Gymnosperm,tree,needleleaved,6.95,3,11.77,1,156.74,1,44.721,14,5.913,9,,,,,,,5
Picea pungens,species,Gymnosperm,tree,needleleaved,,,19.236,,471.698,1,34.31,34,4.338,22,,,,,,,4
Picea purpurea,species,Gymnosperm,tree,needleleaved,,,,,,,28.284,8,,,0.35,3,,,,0.35,2
Picea retroflexa,species,Gymnosperm,tree,,,,,,,,42.5,2,,,,,,,,,1
Picea rubens,species,Gymnosperm,tree,needleleaved,16.5,,11.45,281,289.855,7,29.27,27,3.304,19,0.41,2,,,,0.41,6
Picea schrenkiana,species,Gymnosperm,tree,needleleaved,11,2,,,,,60,8,,,0.36,4,,,,0.36,3
Picea schrenkiana subsp. tianschanica,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,34.641,4,,,,,,,,,1
Picea sitchensis,species,Gymnosperm,tree,needleleaved,17.99,40,11.175,90,202.548,382,55.113,176,2.368,23,0.382,6,,,,0.382,6
Picea smithiana,species,Gymnosperm,tree,needleleaved,,,17.2,,123.8,,50,7,12.391,7,0.417,4,,,,0.417,5
Picea spinulosa,species,Gymnosperm,tree,needleleaved,,,,,,,50,5,,,,,,,,,1
Picea torano,species,Gymnosperm,tree,needleleaved,,,,,,,40,,12.674,4,,,,,,,2
Picea wilsonii,species,Gymnosperm,tree,needleleaved,,,27.8,1,,,50,6,,,0.45,1,,,,0.45,3
Picralima nitida,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.77,2,,,,0.77,1
Picramnia juniniana,species,Angiosperm,tree,broadleaved,3650.96,3,20.136,2,42.574,2,,,,,,,,,,,3
Picramnia latifolia,species,Angiosperm,tree,broadleaved,5689.93,18,23.416,2,75.281,38,13.973,3,70.513,11,0.7,2,,,,0.7,6
Picramnia magnifolia,species,Angiosperm,tree,,33730.2,2,29.351,2,58.776,2,,,,,,,,,,,3
